"Sex","Province or County","CensusYear","Statistic Label","UNIT","VALUE"
"Female","Wexford","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-8.9"
"Female","Wexford","1881","Population","Number","62926"
"Female","Wexford","1881","Population Change since previous Census","Number","-5541"
"Female","Wexford","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-8.4"
"Female","Wexford","1891","Population","Number","56843"
"Female","Wexford","1891","Population Change since previous Census","Number","-6083"
"Female","Wexford","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-10.1"
"Female","Wexford","1901","Population","Number","52348"
"Female","Wexford","1901","Population Change since previous Census","Number","-4495"
"Female","Wexford","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-8.2"
"Female","Wexford","1911","Population","Number","50705"
"Female","Wexford","1911","Population Change since previous Census","Number","-1643"
"Female","Wexford","1911","Annual Rate of Population Increase","No. per 1000 Pop.","-3.2"
"Female","Wexford","1926","Population","Number","47278"
"Female","Wexford","1926","Population Change since previous Census","Number","-3427"
"Female","Wexford","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-4.7"
"Female","Wexford","1936","Population","Number","45668"
"Female","Wexford","1936","Population Change since previous Census","Number","-1610"
"Female","Wexford","1936","Annual Rate of Population Increase","No. per 1000 Pop.","-3.5"
"Female","Wexford","1946","Population","Number","45244"
"Female","Wexford","1946","Population Change since previous Census","Number","-424"
"Female","Wexford","1946","Annual Rate of Population Increase","No. per 1000 Pop.","-0.9"
"Female","Wexford","1951","Population","Number","44087"
"Female","Wexford","1951","Population Change since previous Census","Number","-1157"
"Female","Wexford","1951","Annual Rate of Population Increase","No. per 1000 Pop.","-5.2"
"Female","Wexford","1956","Population","Number","43049"
"Female","Wexford","1956","Population Change since previous Census","Number","-1038"
"Female","Wexford","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-4.8"
"Female","Wexford","1961","Population","Number","41180"
"Female","Wexford","1961","Population Change since previous Census","Number","-1869"
"Female","Wexford","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-8.8"
"Female","Wexford","1966","Population","Number","41167"
"Female","Wexford","1966","Population Change since previous Census","Number","-13"
"Female","Wexford","1966","Annual Rate of Population Increase","No. per 1000 Pop.","-0.1"
"Female","Wexford","1971","Population","Number","42583"
"Female","Wexford","1971","Population Change since previous Census","Number","1416"
"Female","Wexford","1971","Annual Rate of Population Increase","No. per 1000 Pop.","6.8"
"Female","Wexford","1979","Population","Number","47447"
"Female","Wexford","1979","Population Change since previous Census","Number","4864"
"Female","Wexford","1979","Annual Rate of Population Increase","No. per 1000 Pop.","13.6"
"Female","Wexford","1981","Population","Number","48745"
"Female","Wexford","1981","Population Change since previous Census","Number","1298"
"Female","Wexford","1981","Annual Rate of Population Increase","No. per 1000 Pop.","13.6"
"Female","Wexford","1986","Population","Number","50770"
"Female","Wexford","1986","Population Change since previous Census","Number","2025"
"Female","Wexford","1986","Annual Rate of Population Increase","No. per 1000 Pop.","8.2"
"Female","Wexford","1991","Population","Number","50625"
"Female","Wexford","1991","Population Change since previous Census","Number","-145"
"Female","Wexford","1991","Annual Rate of Population Increase","No. per 1000 Pop.","-0.6"
"Female","Wexford","1996","Population","Number","51939"
"Female","Wexford","1996","Population Change since previous Census","Number","1314"
"Female","Wexford","1996","Annual Rate of Population Increase","No. per 1000 Pop.","5.1"
"Female","Wexford","2002","Population","Number","58426"
"Female","Wexford","2002","Population Change since previous Census","Number","6487"
"Female","Wexford","2002","Annual Rate of Population Increase","No. per 1000 Pop.","19.8"
"Female","Wexford","2006","Population","Number","65679"
"Female","Wexford","2006","Population Change since previous Census","Number","7253"
"Female","Wexford","2006","Annual Rate of Population Increase","No. per 1000 Pop.","29.7"
"Female","Wexford","2011","Population","Number","73411"
"Female","Wexford","2011","Population Change since previous Census","Number","7732"
"Female","Wexford","2011","Annual Rate of Population Increase","No. per 1000 Pop.","22.2"
"Female","Wexford","2016","Population","Number","76000"
"Female","Wexford","2016","Population Change since previous Census","Number","2589"
"Female","Wexford","2016","Annual Rate of Population Increase","No. per 1000 Pop.","6.9"
"Female","Wicklow","1841","Population","Number","62654"
"Female","Wicklow","1841","Population Change since previous Census","Number",""
"Female","Wicklow","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Female","Wicklow","1851","Population","Number","48749"
"Female","Wicklow","1851","Population Change since previous Census","Number","-13905"
"Female","Wicklow","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-24.8"
"Female","Wicklow","1861","Population","Number","42357"
"Female","Wicklow","1861","Population Change since previous Census","Number","-6392"
"Female","Wicklow","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-14"
"Female","Wicklow","1871","Population","Number","39201"
"Female","Wicklow","1871","Population Change since previous Census","Number","-3156"
"Female","Wicklow","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-7.7"
"Female","Wicklow","1881","Population","Number","35285"
"Female","Wicklow","1881","Population Change since previous Census","Number","-3916"
"Female","Wicklow","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-10.5"
"Female","Wicklow","1891","Population","Number","31082"
"Female","Wicklow","1891","Population Change since previous Census","Number","-4203"
"Female","Wicklow","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-12.6"
"Female","Wicklow","1901","Population","Number","30240"
"Female","Wicklow","1901","Population Change since previous Census","Number","-842"
"Female","Wicklow","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-2.7"
"Female","Wicklow","1911","Population","Number","29598"
"Female","Wicklow","1911","Population Change since previous Census","Number","-642"
"Female","Wicklow","1911","Annual Rate of Population Increase","No. per 1000 Pop.","-2.1"
"Female","Wicklow","1926","Population","Number","28680"
"Female","Wicklow","1926","Population Change since previous Census","Number","-918"
"Female","Wicklow","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-2.1"
"Female","Wicklow","1936","Population","Number","28701"
"Female","Wicklow","1936","Population Change since previous Census","Number","21"
"Female","Wicklow","1936","Annual Rate of Population Increase","No. per 1000 Pop.","0.1"
"Female","Wicklow","1946","Population","Number","30299"
"Female","Wicklow","1946","Population Change since previous Census","Number","1598"
"Female","Wicklow","1946","Annual Rate of Population Increase","No. per 1000 Pop.","5.4"
"Female","Wicklow","1951","Population","Number","31003"
"Female","Wicklow","1951","Population Change since previous Census","Number","704"
"Female","Wicklow","1951","Annual Rate of Population Increase","No. per 1000 Pop.","4.6"
"Female","Wicklow","1956","Population","Number","29973"
"Female","Wicklow","1956","Population Change since previous Census","Number","-1030"
"Female","Wicklow","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-6.7"
"Female","Wicklow","1961","Population","Number","29323"
"Female","Wicklow","1961","Population Change since previous Census","Number","-650"
"Female","Wicklow","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-4.4"
"Female","Wicklow","1966","Population","Number","30197"
"Female","Wicklow","1966","Population Change since previous Census","Number","874"
"Female","Wicklow","1966","Annual Rate of Population Increase","No. per 1000 Pop.","5.9"
"Female","Wicklow","1971","Population","Number","32977"
"Female","Wicklow","1971","Population Change since previous Census","Number","2780"
"Female","Wicklow","1971","Annual Rate of Population Increase","No. per 1000 Pop.","17.8"
"Female","Wicklow","1979","Population","Number","41981"
"Female","Wicklow","1979","Population Change since previous Census","Number","9004"
"Female","Wicklow","1979","Annual Rate of Population Increase","No. per 1000 Pop.","30.6"
"Female","Wicklow","1981","Population","Number","43786"
"Female","Wicklow","1981","Population Change since previous Census","Number","1805"
"Female","Wicklow","1981","Annual Rate of Population Increase","No. per 1000 Pop.","21.3"
"Female","Wicklow","1986","Population","Number","47562"
"Female","Wicklow","1986","Population Change since previous Census","Number","3776"
"Female","Wicklow","1986","Annual Rate of Population Increase","No. per 1000 Pop.","16.7"
"Female","Wicklow","1991","Population","Number","49189"
"Female","Wicklow","1991","Population Change since previous Census","Number","1627"
"Female","Wicklow","1991","Annual Rate of Population Increase","No. per 1000 Pop.","6.7"
"Female","Wicklow","1996","Population","Number","51860"
"Female","Wicklow","1996","Population Change since previous Census","Number","2671"
"Female","Wicklow","1996","Annual Rate of Population Increase","No. per 1000 Pop.","10.6"
"Female","Wicklow","2002","Population","Number","57876"
"Female","Wicklow","2002","Population Change since previous Census","Number","6016"
"Female","Wicklow","2002","Annual Rate of Population Increase","No. per 1000 Pop.","18.5"
"Female","Wicklow","2006","Population","Number","63289"
"Female","Wicklow","2006","Population Change since previous Census","Number","5413"
"Female","Wicklow","2006","Annual Rate of Population Increase","No. per 1000 Pop.","22.6"
"Female","Wicklow","2011","Population","Number","69098"
"Female","Wicklow","2011","Population Change since previous Census","Number","5809"
"Female","Wicklow","2011","Annual Rate of Population Increase","No. per 1000 Pop.","17.6"
"Female","Wicklow","2016","Population","Number","72269"
"Female","Wicklow","2016","Population Change since previous Census","Number","3171"
"Female","Wicklow","2016","Annual Rate of Population Increase","No. per 1000 Pop.","9"
"Female","Munster","1841","Population","Number","1209971"
"Female","Munster","1841","Population Change since previous Census","Number",""
"Female","Munster","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Female","Munster","1851","Population","Number","952757"
"Female","Munster","1851","Population Change since previous Census","Number","-257214"
"Female","Munster","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-23.6"
"Female","Munster","1861","Population","Number","768876"
"Female","Munster","1861","Population Change since previous Census","Number","-183881"
"Female","Munster","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-21.2"
"Female","Munster","1871","Population","Number","707379"
"Female","Munster","1871","Population Change since previous Census","Number","-61497"
"Female","Munster","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-8.3"
"Female","Munster","1881","Population","Number","671121"
"Female","Munster","1881","Population Change since previous Census","Number","-36258"
"Female","Munster","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-5.2"
"Female","Munster","1891","Population","Number","584791"
"Female","Munster","1891","Population Change since previous Census","Number","-86330"
"Female","Munster","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-13.7"
"Female","Munster","1901","Population","Number","535218"
"Female","Munster","1901","Population Change since previous Census","Number","-49573"
"Female","Munster","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-8.8"
"Female","Munster","1911","Population","Number","509365"
"Female","Munster","1911","Population Change since previous Census","Number","-25853"
"Female","Munster","1911","Annual Rate of Population Increase","No. per 1000 Pop.","-4.9"
"Female","Munster","1926","Population","Number","476274"
"Female","Munster","1926","Population Change since previous Census","Number","-33091"
"Female","Munster","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-4.5"
"Female","Munster","1936","Population","Number","456860"
"Female","Munster","1936","Population Change since previous Census","Number","-19414"
"Female","Munster","1936","Annual Rate of Population Increase","No. per 1000 Pop.","-4.2"
"Female","Munster","1946","Population","Number","449608"
"Female","Munster","1946","Population Change since previous Census","Number","-7252"
"Female","Munster","1946","Annual Rate of Population Increase","No. per 1000 Pop.","-1.6"
"Female","Munster","1951","Population","Number","438505"
"Female","Munster","1951","Population Change since previous Census","Number","-11103"
"Female","Munster","1951","Annual Rate of Population Increase","No. per 1000 Pop.","-5"
"Female","Munster","1956","Population","Number","430456"
"Female","Munster","1956","Population Change since previous Census","Number","-8049"
"Female","Munster","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-3.7"
"Female","Munster","1961","Population","Number","417911"
"Female","Munster","1961","Population Change since previous Census","Number","-12545"
"Female","Munster","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-5.9"
"Female","Munster","1966","Population","Number","422966"
"Female","Munster","1966","Population Change since previous Census","Number","5055"
"Female","Munster","1966","Annual Rate of Population Increase","No. per 1000 Pop.","2.4"
"Female","Munster","1971","Population","Number","434731"
"Female","Munster","1971","Population Change since previous Census","Number","11765"
"Female","Munster","1971","Annual Rate of Population Increase","No. per 1000 Pop.","5.5"
"Female","Munster","1979","Population","Number","482408"
"Female","Munster","1979","Population Change since previous Census","Number","47677"
"Female","Munster","1979","Annual Rate of Population Increase","No. per 1000 Pop.","13.1"
"Female","Munster","1981","Population","Number","491458"
"Female","Munster","1981","Population Change since previous Census","Number","9050"
"Female","Munster","1981","Annual Rate of Population Increase","No. per 1000 Pop.","9.3"
"Female","Munster","1986","Population","Number","505869"
"Female","Munster","1986","Population Change since previous Census","Number","14411"
"Female","Munster","1986","Annual Rate of Population Increase","No. per 1000 Pop.","5.8"
"Female","Munster","1991","Population","Number","502438"
"Female","Munster","1991","Population Change since previous Census","Number","-3431"
"Female","Munster","1991","Annual Rate of Population Increase","No. per 1000 Pop.","-1.4"
"Female","Munster","1996","Population","Number","515686"
"Female","Munster","1996","Population Change since previous Census","Number","13248"
"Female","Munster","1996","Annual Rate of Population Increase","No. per 1000 Pop.","5.2"
"Female","Munster","2002","Population","Number","550496"
"Female","Munster","2002","Population Change since previous Census","Number","34810"
"Female","Munster","2002","Annual Rate of Population Increase","No. per 1000 Pop.","10.9"
"Female","Munster","2006","Population","Number","583407"
"Female","Munster","2006","Population Change since previous Census","Number","32911"
"Female","Munster","2006","Annual Rate of Population Increase","No. per 1000 Pop.","14.6"
"Female","Munster","2011","Population","Number","625828"
"Female","Munster","2011","Population Change since previous Census","Number","42421"
"Female","Munster","2011","Annual Rate of Population Increase","No. per 1000 Pop.","14"
"Female","Munster","2016","Population","Number","644846"
"Female","Munster","2016","Population Change since previous Census","Number","19018"
"Female","Munster","2016","Annual Rate of Population Increase","No. per 1000 Pop.","6"
"Female","Clare","1841","Population","Number","142285"
"Female","Clare","1841","Population Change since previous Census","Number",""
"Female","Clare","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Female","Clare","1851","Population","Number","108487"
"Female","Clare","1851","Population Change since previous Census","Number","-33798"
"Female","Clare","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-26.8"
"Female","Clare","1861","Population","Number","83764"
"Female","Clare","1861","Population Change since previous Census","Number","-24723"
"Female","Clare","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-25.5"
"Female","Clare","1871","Population","Number","74422"
"Female","Clare","1871","Population Change since previous Census","Number","-9342"
"Female","Clare","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-11.8"
"Female","Clare","1881","Population","Number","70399"
"Female","Clare","1881","Population Change since previous Census","Number","-4023"
"Female","Clare","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-5.5"
"Female","Clare","1891","Population","Number","61345"
"Female","Clare","1891","Population Change since previous Census","Number","-9054"
"Female","Clare","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-13.7"
"Female","Clare","1901","Population","Number","54948"
"Female","Clare","1901","Population Change since previous Census","Number","-6397"
"Female","Clare","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-11"
"Female","Clare","1911","Population","Number","50355"
"Female","Clare","1911","Population Change since previous Census","Number","-4593"
"Female","Clare","1911","Annual Rate of Population Increase","No. per 1000 Pop.","-8.7"
"Female","Clare","1926","Population","Number","44993"
"Female","Clare","1926","Population Change since previous Census","Number","-5362"
"Female","Clare","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-7.5"
"Female","Clare","1936","Population","Number","41922"
"Female","Clare","1936","Population Change since previous Census","Number","-3071"
"Female","Clare","1936","Annual Rate of Population Increase","No. per 1000 Pop.","-7"
"Female","Clare","1946","Population","Number","39714"
"Female","Clare","1946","Population Change since previous Census","Number","-2208"
"Female","Clare","1946","Annual Rate of Population Increase","No. per 1000 Pop.","-5.4"
"Female","Clare","1951","Population","Number","37856"
"Female","Clare","1951","Population Change since previous Census","Number","-1858"
"Female","Clare","1951","Annual Rate of Population Increase","No. per 1000 Pop.","-9.5"
"Female","Clare","1956","Population","Number","36308"
"Female","Clare","1956","Population Change since previous Census","Number","-1548"
"Female","Clare","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-8.3"
"Female","Clare","1961","Population","Number","34798"
"Female","Clare","1961","Population Change since previous Census","Number","-1510"
"Female","Clare","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-8.5"
"Female","Clare","1966","Population","Number","34930"
"Female","Clare","1966","Population Change since previous Census","Number","132"
"Female","Clare","1966","Annual Rate of Population Increase","No. per 1000 Pop.","0.8"
"Female","Clare","1971","Population","Number","36006"
"Female","Clare","1971","Population Change since previous Census","Number","1076"
"Female","Clare","1971","Annual Rate of Population Increase","No. per 1000 Pop.","6.1"
"Female","Clare","1979","Population","Number","40974"
"Female","Clare","1979","Population Change since previous Census","Number","4968"
"Female","Clare","1979","Annual Rate of Population Increase","No. per 1000 Pop.","16.3"
"Female","Clare","1981","Population","Number","42201"
"Female","Clare","1981","Population Change since previous Census","Number","1227"
"Female","Clare","1981","Annual Rate of Population Increase","No. per 1000 Pop.","14.9"
"Female","Clare","1986","Population","Number","44431"
"Female","Clare","1986","Population Change since previous Census","Number","2230"
"Female","Clare","1986","Annual Rate of Population Increase","No. per 1000 Pop.","10.4"
"Female","Clare","1991","Population","Number","44551"
"Female","Clare","1991","Population Change since previous Census","Number","120"
"Female","Clare","1991","Annual Rate of Population Increase","No. per 1000 Pop.","0.5"
"Female","Clare","1996","Population","Number","46217"
"Female","Clare","1996","Population Change since previous Census","Number","1666"
"Female","Clare","1996","Annual Rate of Population Increase","No. per 1000 Pop.","7.4"
"Female","Clare","2002","Population","Number","51214"
"Female","Clare","2002","Population Change since previous Census","Number","4997"
"Female","Clare","2002","Annual Rate of Population Increase","No. per 1000 Pop.","17.3"
"Female","Clare","2006","Population","Number","54902"
"Female","Clare","2006","Population Change since previous Census","Number","3688"
"Female","Clare","2006","Annual Rate of Population Increase","No. per 1000 Pop.","17.5"
"Female","Clare","2011","Population","Number","58898"
"Female","Clare","2011","Population Change since previous Census","Number","3996"
"Female","Clare","2011","Annual Rate of Population Increase","No. per 1000 Pop.","14"
"Female","Clare","2016","Population","Number","60032"
"Female","Clare","2016","Population Change since previous Census","Number","1134"
"Female","Clare","2016","Annual Rate of Population Increase","No. per 1000 Pop.","3.8"
"Female","Cork","1841","Population","Number","433567"
"Female","Cork","1841","Population Change since previous Census","Number",""
"Female","Cork","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Female","Cork","1851","Population","Number","331159"
"Female","Cork","1851","Population Change since previous Census","Number","-102408"
"Female","Cork","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-26.6"
"Female","Cork","1861","Population","Number","275181"
"Female","Cork","1861","Population Change since previous Census","Number","-55978"
"Female","Cork","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-18.3"
"Female","Cork","1871","Population","Number","261014"
"Female","Cork","1871","Population Change since previous Census","Number","-14167"
"Female","Cork","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-5.3"
"Female","Cork","1881","Population","Number","249563"
"Female","Cork","1881","Population Change since previous Census","Number","-11451"
"Female","Cork","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-4.5"
"Female","Cork","1891","Population","Number","218444"
"Female","Cork","1891","Population Change since previous Census","Number","-31119"
"Female","Cork","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-13.2"
"Female","Cork","1901","Population","Number","202314"
"Female","Cork","1901","Population Change since previous Census","Number","-16130"
"Female","Cork","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-7.6"
"Female","Cork","1911","Population","Number","194588"
"Female","Cork","1911","Population Change since previous Census","Number","-7726"
"Female","Cork","1911","Annual Rate of Population Increase","No. per 1000 Pop.","-3.9"
"Female","Cork","1926","Population","Number","182555"
"Female","Cork","1926","Population Change since previous Census","Number","-12033"
"Female","Cork","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-4.2"
"Female","Cork","1936","Population","Number","176337"
"Female","Cork","1936","Population Change since previous Census","Number","-6218"
"Female","Cork","1936","Annual Rate of Population Increase","No. per 1000 Pop.","-3.5"
"Female","Cork","1946","Population","Number","172558"
"Female","Cork","1946","Population Change since previous Census","Number","-3779"
"Female","Cork","1946","Annual Rate of Population Increase","No. per 1000 Pop.","-2.2"
"Female","Cork","1951","Population","Number","170419"
"Female","Cork","1951","Population Change since previous Census","Number","-2139"
"Female","Cork","1951","Annual Rate of Population Increase","No. per 1000 Pop.","-2.5"
"Female","Cork","1956","Population","Number","168711"
"Female","Cork","1956","Population Change since previous Census","Number","-1708"
"Female","Cork","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-2"
"Female","Cork","1961","Population","Number","165735"
"Female","Cork","1961","Population Change since previous Census","Number","-2976"
"Female","Cork","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-3.6"
"Female","Cork","1966","Population","Number","169693"
"Female","Cork","1966","Population Change since previous Census","Number","3958"
"Female","Cork","1966","Annual Rate of Population Increase","No. per 1000 Pop.","4.7"
"Female","Cork","1971","Population","Number","176097"
"Female","Cork","1971","Population Change since previous Census","Number","6404"
"Female","Cork","1971","Annual Rate of Population Increase","No. per 1000 Pop.","7.4"
"Female","Cork","1979","Population","Number","196972"
"Female","Cork","1979","Population Change since previous Census","Number","20875"
"Female","Cork","1979","Annual Rate of Population Increase","No. per 1000 Pop.","14.1"
"Female","Cork","1981","Population","Number","200077"
"Female","Cork","1981","Population Change since previous Census","Number","3105"
"Female","Cork","1981","Annual Rate of Population Increase","No. per 1000 Pop.","7.9"
"Female","Cork","1986","Population","Number","206265"
"Female","Cork","1986","Population Change since previous Census","Number","6188"
"Female","Cork","1986","Annual Rate of Population Increase","No. per 1000 Pop.","6.1"
"Female","Cork","1991","Population","Number","205827"
"Female","Cork","1991","Population Change since previous Census","Number","-438"
"Female","Cork","1991","Annual Rate of Population Increase","No. per 1000 Pop.","-0.4"
"Female","Cork","1996","Population","Number","211333"
"Female","Cork","1996","Population Change since previous Census","Number","5506"
"Female","Cork","1996","Annual Rate of Population Increase","No. per 1000 Pop.","5.3"
"Female","Cork","2002","Population","Number","225512"
"Female","Cork","2002","Population Change since previous Census","Number","14179"
"Female","Cork","2002","Annual Rate of Population Increase","No. per 1000 Pop.","10.9"
"Female","Cork","2006","Population","Number","240481"
"Female","Cork","2006","Population Change since previous Census","Number","14969"
"Female","Cork","2006","Annual Rate of Population Increase","No. per 1000 Pop.","16.2"
"Female","Cork","2011","Population","Number","261562"
"Female","Cork","2011","Population Change since previous Census","Number","21081"
"Female","Cork","2011","Annual Rate of Population Increase","No. per 1000 Pop.","16.8"
"Female","Cork","2016","Population","Number","274193"
"Female","Cork","2016","Population Change since previous Census","Number","12631"
"Female","Cork","2016","Annual Rate of Population Increase","No. per 1000 Pop.","9.4"
"Female","Kerry","1841","Population","Number","146573"
"Female","Kerry","1841","Population Change since previous Census","Number",""
"Female","Kerry","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Female","Kerry","1851","Population","Number","121743"
"Female","Kerry","1851","Population Change since previous Census","Number","-24830"
"Female","Kerry","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-18.4"
"Female","Kerry","1861","Population","Number","101801"
"Female","Kerry","1861","Population Change since previous Census","Number","-19942"
"Female","Kerry","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-17.7"
"Female","Kerry","1871","Population","Number","98673"
"Female","Kerry","1871","Population Change since previous Census","Number","-3128"
"Female","Kerry","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-3.1"
"Female","Kerry","1881","Population","Number","99831"
"Female","Kerry","1881","Population Change since previous Census","Number","1158"
"Female","Kerry","1881","Annual Rate of Population Increase","No. per 1000 Pop.","1.2"
"Female","Kerry","1891","Population","Number","88119"
"Female","Kerry","1891","Population Change since previous Census","Number","-11712"
"Female","Kerry","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-12.4"
"Female","Kerry","1901","Population","Number","81299"
"Female","Kerry","1901","Population Change since previous Census","Number","-6820"
"Female","Kerry","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-8"
"Female","Kerry","1911","Population","Number","78217"
"Female","Kerry","1911","Population Change since previous Census","Number","-3082"
"Female","Kerry","1911","Annual Rate of Population Increase","No. per 1000 Pop.","-3.9"
"Female","Kerry","1926","Population","Number","72308"
"Female","Kerry","1926","Population Change since previous Census","Number","-5909"
"Female","Kerry","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-5.2"
"Female","Kerry","1936","Population","Number","66331"
"Female","Kerry","1936","Population Change since previous Census","Number","-5977"
"Female","Kerry","1936","Annual Rate of Population Increase","No. per 1000 Pop.","-8.6"
"Female","Kerry","1946","Population","Number","63780"
"Female","Kerry","1946","Population Change since previous Census","Number","-2551"
"Female","Kerry","1946","Annual Rate of Population Increase","No. per 1000 Pop.","-3.9"
"Female","Kerry","1951","Population","Number","60137"
"Female","Kerry","1951","Population Change since previous Census","Number","-3643"
"Female","Kerry","1951","Annual Rate of Population Increase","No. per 1000 Pop.","-11.7"
"Female","Kerry","1956","Population","Number","58107"
"Female","Kerry","1956","Population Change since previous Census","Number","-2030"
"Female","Kerry","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-6.8"
"Female","Kerry","1961","Population","Number","55620"
"Female","Kerry","1961","Population Change since previous Census","Number","-2487"
"Female","Kerry","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-8.7"
"Female","Kerry","1966","Population","Number","54111"
"Female","Kerry","1966","Population Change since previous Census","Number","-1509"
"Female","Kerry","1966","Annual Rate of Population Increase","No. per 1000 Pop.","-5.5"
"Female","Kerry","1971","Population","Number","54368"
"Female","Kerry","1971","Population Change since previous Census","Number","257"
"Female","Kerry","1971","Annual Rate of Population Increase","No. per 1000 Pop.","0.9"
"Female","Kerry","1979","Population","Number","58171"
"Female","Kerry","1979","Population Change since previous Census","Number","3803"
"Female","Kerry","1979","Annual Rate of Population Increase","No. per 1000 Pop.","8.5"
"Female","Kerry","1981","Population","Number","59278"
"Female","Kerry","1981","Population Change since previous Census","Number","1107"
"Female","Kerry","1981","Annual Rate of Population Increase","No. per 1000 Pop.","9.5"
"Female","Kerry","1986","Population","Number","60866"
"Female","Kerry","1986","Population Change since previous Census","Number","1588"
"Female","Kerry","1986","Annual Rate of Population Increase","No. per 1000 Pop.","5.3"
"Female","Kerry","1991","Population","Number","59962"
"Female","Kerry","1991","Population Change since previous Census","Number","-904"
"Female","Kerry","1991","Annual Rate of Population Increase","No. per 1000 Pop.","-3"
"Female","Kerry","1996","Population","Number","62329"
"Female","Kerry","1996","Population Change since previous Census","Number","2367"
"Female","Kerry","1996","Annual Rate of Population Increase","No. per 1000 Pop.","7.8"
"Female","Kerry","2002","Population","Number","65955"
"Female","Kerry","2002","Population Change since previous Census","Number","3626"
"Female","Kerry","2002","Annual Rate of Population Increase","No. per 1000 Pop.","9.5"
"Female","Kerry","2006","Population","Number","69194"
"Female","Kerry","2006","Population Change since previous Census","Number","3239"
"Female","Kerry","2006","Annual Rate of Population Increase","No. per 1000 Pop.","12.1"
"Female","Kerry","2011","Population","Number","72873"
"Female","Kerry","2011","Population Change since previous Census","Number","3679"
"Female","Kerry","2011","Annual Rate of Population Increase","No. per 1000 Pop.","10.4"
"Female","Kerry","2016","Population","Number","74652"
"Female","Kerry","2016","Population Change since previous Census","Number","1779"
"Female","Kerry","2016","Annual Rate of Population Increase","No. per 1000 Pop.","4.8"
"Female","Limerick","1841","Population","Number","168032"
"Female","Limerick","1841","Population Change since previous Census","Number",""
"Female","Limerick","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Female","Limerick","1851","Population","Number","134745"
"Female","Limerick","1851","Population Change since previous Census","Number","-33287"
"Female","Limerick","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-21.8"
"Female","Limerick","1861","Population","Number","111565"
"Female","Limerick","1861","Population Change since previous Census","Number","-23180"
"Female","Limerick","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-18.7"
"Female","Limerick","1871","Population","Number","98824"
"Female","Limerick","1871","Population Change since previous Census","Number","-12741"
"Female","Limerick","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-12.1"
"Female","Limerick","1881","Population","Number","92321"
